scenario_id,repetition_id,day,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,variance_scores,social_welfare,num_changes
D1,1,0,3000,erdos_renyi,Urn,0.6,0.2,0.2,250.83333333333334,4.300666666666666,0
D1,1,1,3000,erdos_renyi,Urn,0.6,0.2,0.2,595.1666666666666,4.298333333333333,564
D1,1,2,3000,erdos_renyi,Urn,0.6,0.2,0.2,937.5,4.298333333333333,337
D1,1,3,3000,erdos_renyi,Urn,0.6,0.2,0.2,994.5,4.254,252
D1,1,4,3000,erdos_renyi,Urn,0.6,0.2,0.2,925.1666666666666,4.254,220
D1,1,5,3000,erdos_renyi,Urn,0.6,0.2,0.2,1048.6666666666667,4.254,206
D1,1,6,3000,erdos_renyi,Urn,0.6,0.2,0.2,1011.0,4.254,202
D1,1,7,3000,erdos_renyi,Urn,0.6,0.2,0.2,1102.5,4.254,196
D1,1,8,3000,erdos_renyi,Urn,0.6,0.2,0.2,1014.5,4.254,193
D1,1,9,3000,erdos_renyi,Urn,0.6,0.2,0.2,1007.3333333333334,4.254,193
D1,1,10,3000,erdos_renyi,Urn,0.6,0.2,0.2,1034.0,4.254,176
D1,1,11,3000,erdos_renyi,Urn,0.6,0.2,0.2,1072.8333333333333,4.254,175
D1,1,12,3000,erdos_renyi,Urn,0.6,0.2,0.2,966.5,4.254,170
D1,1,13,3000,erdos_renyi,Urn,0.6,0.2,0.2,977.5,4.254,173
D1,1,14,3000,erdos_renyi,Urn,0.6,0.2,0.2,986.8333333333334,4.254,178
D1,1,15,3000,erdos_renyi,Urn,0.6,0.2,0.2,1176.3333333333333,4.254,173
D1,1,16,3000,erdos_renyi,Urn,0.6,0.2,0.2,1086.6666666666667,4.254,182
D1,1,17,3000,erdos_renyi,Urn,0.6,0.2,0.2,1053.0,4.298333333333333,168
D1,1,18,3000,erdos_renyi,Urn,0.6,0.2,0.2,1068.3333333333333,4.254,174
D1,1,19,3000,erdos_renyi,Urn,0.6,0.2,0.2,1060.8333333333333,4.254,176
D1,1,20,3000,erdos_renyi,Urn,0.6,0.2,0.2,989.5,4.254,165
D1,1,21,3000,erdos_renyi,Urn,0.6,0.2,0.2,1109.3333333333333,4.254,170
D1,1,22,3000,erdos_renyi,Urn,0.6,0.2,0.2,994.3333333333334,4.254,159
D1,1,23,3000,erdos_renyi,Urn,0.6,0.2,0.2,1129.5,4.254,171
D1,1,24,3000,erdos_renyi,Urn,0.6,0.2,0.2,1099.8333333333333,4.254,185
D1,1,25,3000,erdos_renyi,Urn,0.6,0.2,0.2,1079.0,4.254,182
D1,1,26,3000,erdos_renyi,Urn,0.6,0.2,0.2,1063.5,4.254,176
D1,1,27,3000,erdos_renyi,Urn,0.6,0.2,0.2,1101.5,4.254,173
D1,1,28,3000,erdos_renyi,Urn,0.6,0.2,0.2,1050.1666666666667,4.254,168
D1,1,29,3000,erdos_renyi,Urn,0.6,0.2,0.2,1215.5,4.254,184
D1,1,30,3000,erdos_renyi,Urn,0.6,0.2,0.2,1091.5,4.254,177
D1,1,31,3000,erdos_renyi,Urn,0.6,0.2,0.2,1007.8333333333334,4.254,172
D1,1,32,3000,erdos_renyi,Urn,0.6,0.2,0.2,1132.8333333333333,4.254,169
D1,1,33,3000,erdos_renyi,Urn,0.6,0.2,0.2,1147.0,4.254,179
D1,1,34,3000,erdos_renyi,Urn,0.6,0.2,0.2,1070.3333333333333,4.254,177
D1,1,35,3000,erdos_renyi,Urn,0.6,0.2,0.2,1179.6666666666667,4.254,178
D1,1,36,3000,erdos_renyi,Urn,0.6,0.2,0.2,1162.0,4.254,168
D1,1,37,3000,erdos_renyi,Urn,0.6,0.2,0.2,1122.3333333333333,4.254,173
D1,1,38,3000,erdos_renyi,Urn,0.6,0.2,0.2,1016.1666666666666,4.254,167
D1,1,39,3000,erdos_renyi,Urn,0.6,0.2,0.2,1106.6666666666667,4.254,167
D1,1,40,3000,erdos_renyi,Urn,0.6,0.2,0.2,1018.3333333333334,4.254,165
D1,1,41,3000,erdos_renyi,Urn,0.6,0.2,0.2,1090.0,4.254,174
D1,1,42,3000,erdos_renyi,Urn,0.6,0.2,0.2,1069.8333333333333,4.254,173
D1,1,43,3000,erdos_renyi,Urn,0.6,0.2,0.2,1093.8333333333333,4.254,170
D1,1,44,3000,erdos_renyi,Urn,0.6,0.2,0.2,1055.1666666666667,4.254,173
D1,1,45,3000,erdos_renyi,Urn,0.6,0.2,0.2,1106.1666666666667,4.254,164
D1,1,46,3000,erdos_renyi,Urn,0.6,0.2,0.2,997.1666666666666,4.254,166
D1,1,47,3000,erdos_renyi,Urn,0.6,0.2,0.2,1061.8333333333333,4.254,153
D1,1,48,3000,erdos_renyi,Urn,0.6,0.2,0.2,995.6666666666666,4.254,165
D1,1,49,3000,erdos_renyi,Urn,0.6,0.2,0.2,1151.1666666666667,4.254,177
D1,1,50,3000,erdos_renyi,Urn,0.6,0.2,0.2,1009.0,4.254,165
D1,1,51,3000,erdos_renyi,Urn,0.6,0.2,0.2,1095.3333333333333,4.254,156
D1,1,52,3000,erdos_renyi,Urn,0.6,0.2,0.2,1086.5,4.254,171
D1,1,53,3000,erdos_renyi,Urn,0.6,0.2,0.2,1204.8333333333333,4.254,168
D1,1,54,3000,erdos_renyi,Urn,0.6,0.2,0.2,1137.5,4.254,173
D1,1,55,3000,erdos_renyi,Urn,0.6,0.2,0.2,1067.6666666666667,4.254,167
D1,1,56,3000,erdos_renyi,Urn,0.6,0.2,0.2,912.1666666666666,4.254,165
D1,1,57,3000,erdos_renyi,Urn,0.6,0.2,0.2,1191.6666666666667,4.254,166
D1,1,58,3000,erdos_renyi,Urn,0.6,0.2,0.2,996.5,4.254,171
D1,1,59,3000,erdos_renyi,Urn,0.6,0.2,0.2,1200.6666666666667,4.254,171
D1,1,60,3000,erdos_renyi,Urn,0.6,0.2,0.2,943.3333333333334,4.254,177
