run_id,day,variance_scores,social_welfare,num_changes
9,0,41.72222222222222,12.868,0
9,1,192.72222222222217,12.991,353
9,2,343.5555555555556,12.794,258
9,3,448.3888888888889,12.991,240
9,4,557.8888888888889,12.991,219
9,5,645.7222222222223,12.991,207
9,6,618.0555555555555,12.991,195
9,7,699.888888888889,13.091,183
9,8,683.8888888888888,13.091,177
9,9,781.2222222222222,13.091,184
9,10,672.7222222222223,12.802,172
9,11,754.0555555555553,13.091,168
9,12,623.7222222222222,13.091,159
9,13,806.5555555555557,13.091,165
9,14,658.2222222222223,13.091,169
9,15,791.388888888889,13.091,167
9,16,664.5555555555555,13.091,166
9,17,909.8888888888888,13.091,165
9,18,769.5555555555555,13.091,168
9,19,806.7222222222225,13.091,169
9,20,864.3888888888886,13.091,160
9,21,955.3888888888888,13.091,150
9,22,828.8888888888887,13.091,141
9,23,801.0555555555555,13.091,144
9,24,793.3888888888891,13.091,157
9,25,881.8888888888886,13.091,152
9,26,801.8888888888888,13.091,144
9,27,869.8888888888887,13.091,147
9,28,838.7222222222223,13.091,158
9,29,813.388888888889,13.091,151
9,30,744.2222222222222,13.091,143
9,31,829.2222222222222,13.091,144
9,32,748.7222222222223,13.091,154
9,33,830.3888888888888,13.091,144
9,34,805.7222222222221,13.091,140
9,35,888.0555555555555,13.091,147
9,36,728.2222222222222,13.091,146
9,37,840.0555555555555,13.091,149
9,38,786.3888888888888,13.091,138
9,39,863.0555555555555,13.091,134
9,40,800.8888888888888,13.091,144
9,41,874.8888888888887,13.091,150
9,42,756.3888888888888,13.091,137
9,43,859.3888888888887,13.091,142
9,44,780.0555555555557,13.091,139
9,45,914.388888888889,13.091,146
9,46,777.3888888888888,13.091,141
9,47,860.888888888889,13.091,143
9,48,826.888888888889,13.091,145
9,49,790.2222222222223,13.091,134
9,50,826.7222222222222,13.091,131
9,51,956.0555555555555,13.091,136
9,52,833.2222222222222,13.091,141
9,53,816.0555555555557,13.091,134
9,54,848.388888888889,13.091,132
9,55,894.3888888888888,13.091,140
9,56,830.0555555555555,13.091,161
9,57,812.2222222222222,13.091,143
9,58,883.0555555555555,13.091,138
9,59,873.0555555555557,13.091,135
9,60,818.0555555555557,13.091,142
