run_id,day,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,variance_scores,social_welfare,num_changes
1,0,1000,erdos_renyi,IC,0.3,0.4,0.3,54.888888888888886,8.732,0
1,1,1000,erdos_renyi,IC,0.3,0.4,0.3,51.25,8.732,418
1,2,1000,erdos_renyi,IC,0.3,0.4,0.3,54.576388888888886,8.732,25
1,3,1000,erdos_renyi,IC,0.3,0.4,0.3,51.90972222222222,8.732,18
1,4,1000,erdos_renyi,IC,0.3,0.4,0.3,56.854166666666664,8.732,20
1,5,1000,erdos_renyi,IC,0.3,0.4,0.3,54.020833333333336,8.732,12
1,6,1000,erdos_renyi,IC,0.3,0.4,0.3,56.40972222222222,8.732,10
1,7,1000,erdos_renyi,IC,0.3,0.4,0.3,58.1875,8.732,14
1,8,1000,erdos_renyi,IC,0.3,0.4,0.3,49.72222222222222,8.732,17
1,9,1000,erdos_renyi,IC,0.3,0.4,0.3,54.854166666666664,8.732,11
1,10,1000,erdos_renyi,IC,0.3,0.4,0.3,54.520833333333336,8.732,12
1,11,1000,erdos_renyi,IC,0.3,0.4,0.3,60.354166666666664,8.732,18
1,12,1000,erdos_renyi,IC,0.3,0.4,0.3,55.75,8.732,15
1,13,1000,erdos_renyi,IC,0.3,0.4,0.3,58.083333333333336,8.732,12
1,14,1000,erdos_renyi,IC,0.3,0.4,0.3,53.40972222222223,8.732,17
1,15,1000,erdos_renyi,IC,0.3,0.4,0.3,47.854166666666664,8.732,20
1,16,1000,erdos_renyi,IC,0.3,0.4,0.3,59.24305555555555,8.732,16
1,17,1000,erdos_renyi,IC,0.3,0.4,0.3,59.74305555555555,8.732,14
1,18,1000,erdos_renyi,IC,0.3,0.4,0.3,55.80555555555557,8.732,17
1,19,1000,erdos_renyi,IC,0.3,0.4,0.3,52.055555555555564,8.732,18
1,20,1000,erdos_renyi,IC,0.3,0.4,0.3,53.520833333333336,8.732,17
1,21,1000,erdos_renyi,IC,0.3,0.4,0.3,52.1875,8.732,12
1,22,1000,erdos_renyi,IC,0.3,0.4,0.3,59.55555555555555,8.732,11
1,23,1000,erdos_renyi,IC,0.3,0.4,0.3,59.576388888888886,8.732,19
1,24,1000,erdos_renyi,IC,0.3,0.4,0.3,56.40972222222223,8.732,12
1,25,1000,erdos_renyi,IC,0.3,0.4,0.3,48.076388888888886,8.732,8
1,26,1000,erdos_renyi,IC,0.3,0.4,0.3,55.13888888888889,8.732,17
1,27,1000,erdos_renyi,IC,0.3,0.4,0.3,52.74305555555555,8.732,19
1,28,1000,erdos_renyi,IC,0.3,0.4,0.3,55.333333333333336,8.732,23
1,29,1000,erdos_renyi,IC,0.3,0.4,0.3,54.243055555555564,8.732,19
1,30,1000,erdos_renyi,IC,0.3,0.4,0.3,53.90972222222223,8.732,12
1,31,1000,erdos_renyi,IC,0.3,0.4,0.3,51.243055555555564,8.732,10
1,32,1000,erdos_renyi,IC,0.3,0.4,0.3,53.305555555555564,8.732,15
1,33,1000,erdos_renyi,IC,0.3,0.4,0.3,53.97222222222223,8.732,12
1,34,1000,erdos_renyi,IC,0.3,0.4,0.3,55.020833333333336,8.732,11
1,35,1000,erdos_renyi,IC,0.3,0.4,0.3,57.90972222222222,8.732,20
1,36,1000,erdos_renyi,IC,0.3,0.4,0.3,55.388888888888886,8.732,19
1,37,1000,erdos_renyi,IC,0.3,0.4,0.3,51.97222222222223,8.732,8
1,38,1000,erdos_renyi,IC,0.3,0.4,0.3,53.30555555555555,8.732,12
1,39,1000,erdos_renyi,IC,0.3,0.4,0.3,50.97222222222223,8.732,20
1,40,1000,erdos_renyi,IC,0.3,0.4,0.3,57.354166666666664,8.732,13
1,41,1000,erdos_renyi,IC,0.3,0.4,0.3,54.90972222222223,8.732,10
1,42,1000,erdos_renyi,IC,0.3,0.4,0.3,61.07638888888889,8.732,18
1,43,1000,erdos_renyi,IC,0.3,0.4,0.3,52.90972222222222,8.732,18
1,44,1000,erdos_renyi,IC,0.3,0.4,0.3,49.72222222222222,8.732,15
1,45,1000,erdos_renyi,IC,0.3,0.4,0.3,53.854166666666664,8.732,17
1,46,1000,erdos_renyi,IC,0.3,0.4,0.3,53.243055555555564,8.732,14
1,47,1000,erdos_renyi,IC,0.3,0.4,0.3,55.076388888888886,8.732,12
1,48,1000,erdos_renyi,IC,0.3,0.4,0.3,56.55555555555555,8.732,15
1,49,1000,erdos_renyi,IC,0.3,0.4,0.3,58.888888888888886,8.732,16
1,50,1000,erdos_renyi,IC,0.3,0.4,0.3,56.055555555555564,8.732,16
1,51,1000,erdos_renyi,IC,0.3,0.4,0.3,63.47222222222222,8.732,18
1,52,1000,erdos_renyi,IC,0.3,0.4,0.3,56.07638888888889,8.732,15
1,53,1000,erdos_renyi,IC,0.3,0.4,0.3,52.05555555555555,8.732,13
1,54,1000,erdos_renyi,IC,0.3,0.4,0.3,56.40972222222222,8.732,15
1,55,1000,erdos_renyi,IC,0.3,0.4,0.3,58.05555555555555,8.732,9
1,56,1000,erdos_renyi,IC,0.3,0.4,0.3,54.854166666666664,8.732,13
1,57,1000,erdos_renyi,IC,0.3,0.4,0.3,55.854166666666664,8.732,18
1,58,1000,erdos_renyi,IC,0.3,0.4,0.3,57.083333333333336,8.732,15
1,59,1000,erdos_renyi,IC,0.3,0.4,0.3,59.888888888888886,8.732,10
1,60,1000,erdos_renyi,IC,0.3,0.4,0.3,54.72222222222222,8.732,12
