run_id,day,variance_scores,social_welfare,num_changes
2,0,128.38888888888889,12.753,0
2,1,956.2222222222222,12.76,373
2,2,1627.2222222222217,12.76,265
2,3,1929.5555555555559,12.76,213
2,4,2009.888888888889,12.72,191
2,5,2024.5555555555563,12.72,179
2,6,1931.8888888888894,12.72,161
2,7,2070.722222222223,12.72,156
2,8,1979.2222222222224,12.72,149
2,9,2124.5555555555557,12.72,135
2,10,2064.722222222222,12.72,136
2,11,2203.222222222223,12.72,134
2,12,2073.5555555555557,12.72,139
2,13,2165.222222222222,12.72,131
2,14,1990.5555555555557,12.72,127
2,15,2066.222222222222,12.72,117
2,16,1917.2222222222224,12.72,109
2,17,1986.388888888889,12.72,113
2,18,1967.8888888888887,12.72,118
2,19,2093.222222222222,12.72,123
2,20,1930.0555555555554,12.72,116
2,21,1912.555555555555,12.72,110
2,22,1973.888888888889,12.72,119
2,23,2077.388888888889,12.72,114
2,24,1992.8888888888887,12.72,115
2,25,2067.722222222222,12.72,116
2,26,2057.5555555555557,12.72,122
2,27,2074.2222222222226,12.72,118
2,28,2102.222222222222,12.72,118
2,29,2101.5555555555547,12.72,124
2,30,1905.2222222222217,12.72,124
2,31,1972.3888888888885,12.72,114
2,32,1982.888888888888,12.72,116
2,33,2066.388888888889,12.72,117
2,34,1955.3888888888887,12.72,116
2,35,2003.2222222222217,12.72,118
2,36,1908.8888888888887,12.72,112
2,37,2036.3888888888887,12.72,107
2,38,1900.2222222222217,12.72,106
2,39,2117.222222222222,12.72,108
2,40,2102.888888888889,12.72,110
2,41,2113.388888888889,12.72,103
2,42,2063.0555555555557,12.72,105
2,43,2180.2222222222226,12.72,115
2,44,2211.2222222222226,12.72,109
2,45,2109.888888888889,12.72,109
2,46,1830.2222222222224,12.72,108
2,47,1993.7222222222229,12.72,105
2,48,2112.222222222222,12.72,109
2,49,2170.555555555556,12.72,111
2,50,2019.5555555555559,12.72,118
2,51,2081.722222222222,12.72,110
2,52,2074.388888888889,12.72,105
2,53,2144.388888888889,12.72,109
2,54,2005.0555555555559,12.72,120
2,55,2075.388888888889,12.72,116
2,56,2180.222222222223,12.72,111
2,57,2082.7222222222226,12.72,116
2,58,2161.3888888888887,12.72,111
2,59,2110.7222222222226,12.72,115
2,60,2072.888888888889,12.72,119
