run_id,day,variance_scores,social_welfare,num_changes
13,0,76.05555555555556,12.656,0
13,1,398.88888888888897,12.908,358
13,2,733.2222222222223,12.656,252
13,3,944.3888888888887,12.656,209
13,4,1225.3888888888885,12.656,200
13,5,1268.5555555555557,12.656,189
13,6,1328.0555555555554,12.656,179
13,7,1341.388888888889,12.656,171
13,8,1533.7222222222224,12.656,170
13,9,1461.8888888888887,12.656,168
13,10,1501.3888888888885,12.656,170
13,11,1443.222222222222,12.656,168
13,12,1552.0555555555554,12.656,173
13,13,1455.5555555555554,12.656,168
13,14,1397.222222222222,12.656,155
13,15,1426.722222222222,12.656,156
13,16,1579.0555555555559,12.656,150
13,17,1497.5555555555557,12.656,140
13,18,1692.2222222222224,12.656,136
13,19,1641.3888888888887,12.656,129
13,20,1829.888888888889,12.656,144
13,21,1649.0555555555557,12.656,145
13,22,1699.222222222222,12.656,132
13,23,1664.722222222222,12.656,140
13,24,1833.7222222222224,12.656,147
13,25,1827.5555555555554,12.656,143
13,26,1874.0555555555563,12.656,138
13,27,1854.0555555555554,12.656,139
13,28,1915.8888888888887,12.656,139
13,29,1823.8888888888887,12.656,135
13,30,1915.8888888888885,12.656,129
13,31,1738.2222222222224,12.656,130
13,32,1949.388888888889,12.656,131
13,33,1696.888888888889,12.656,137
13,34,1784.222222222222,12.656,130
13,35,1822.8888888888887,12.656,131
13,36,1954.5555555555557,12.656,130
13,37,1791.055555555555,12.656,116
13,38,1902.7222222222224,12.656,122
13,39,1759.0555555555554,12.656,121
13,40,1815.388888888889,12.656,116
13,41,1734.388888888889,12.656,121
13,42,1868.8888888888887,12.656,120
13,43,1747.722222222222,12.656,119
13,44,1943.2222222222224,12.656,130
13,45,1742.3888888888887,12.656,131
13,46,1803.0555555555559,12.656,123
13,47,1756.7222222222224,12.656,129
13,48,1888.388888888889,12.656,119
13,49,1761.5555555555557,12.656,118
13,50,1861.888888888889,12.656,118
13,51,1733.888888888889,12.656,117
13,52,1855.222222222222,12.656,125
13,53,1808.722222222222,12.656,131
13,54,1944.722222222222,12.656,132
13,55,1648.5555555555557,12.656,124
13,56,1797.0555555555557,12.656,119
13,57,1739.555555555555,12.656,120
13,58,1907.722222222222,12.656,121
13,59,1833.388888888889,12.656,123
13,60,1854.5555555555554,12.656,121
